Call,Response
<query> can you book a table in a cheap price range in london,i'm on it
<context> <user> can you book a table in a cheap price range in london <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table in a cheap price range in london <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with french food,how many people would be in your party
<context> <user> can you book a table in a cheap price range in london <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <query> for four please,ok let me look into some options for you
<context> <user> can you book a table in a cheap price range in london <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <user> for four please <system> ok let me look into some options for you <query> <SILENCE>,api_call french london four cheap
<query> may i have a table,i'm on it
<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with spanish cuisine,where should it be
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <query> in london,how many people would be in your party
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> in london <system> how many people would be in your party <query> we will be four,which price range are looking for
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> in london <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> in london <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london four moderate
<query> can you make a restaurant reservation for eight people in a cheap price range with british cuisine,i'm on it
<context> <user> can you make a restaurant reservation for eight people in a cheap price range with british cuisine <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> can you make a restaurant reservation for eight people in a cheap price range with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in madrid,ok let me look into some options for you
<context> <user> can you make a restaurant reservation for eight people in a cheap price range with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in madrid <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid eight cheap
<query> can you book a table in a moderate price range,i'm on it
<context> <user> can you book a table in a moderate price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love indian food,where should it be
<context> <user> can you book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <query> bombay please,how many people would be in your party
