Call,Response
<query> can you book a table,i'm on it
<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love italian food,where should it be
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <query> in paris,how many people would be in your party
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in paris <system> how many people would be in your party <query> we will be two,which price range are looking for
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in paris <system> how many people would be in your party <user> we will be two <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in paris <system> how many people would be in your party <user> we will be two <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian paris two cheap
<query> can you book a table,i'm on it
<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love italian food,where should it be
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <query> in london,how many people would be in your party
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in london <system> how many people would be in your party <query> we will be eight,which price range are looking for
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in london <system> how many people would be in your party <user> we will be eight <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love italian food <system> where should it be <user> in london <system> how many people would be in your party <user> we will be eight <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call italian london eight cheap
<query> may i have a table in a moderate price range with british cuisine for two in bombay,i'm on it
<context> <user> may i have a table in a moderate price range with british cuisine for two in bombay <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table in a moderate price range with british cuisine for two in bombay <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay two moderate
<query> i'd like to book a table with british cuisine,i'm on it
<context> <user> i'd like to book a table with british cuisine <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> i'd like to book a table with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in bombay,how many people would be in your party
<context> <user> i'd like to book a table with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> how many people would be in your party <query> for two please,which price range are looking for
<context> <user> i'd like to book a table with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> how many people would be in your party <user> for two please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you
<context> <user> i'd like to book a table with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in bombay <system> how many people would be in your party <user> for two please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay two expensive
<query> can you book a table,i'm on it
<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with indian cuisine,where should it be
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <query> in london,how many people would be in your party
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <user> in london <system> how many people would be in your party <query> we will be six,which price range are looking for
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <user> in london <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <user> in london <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian london six moderate
<query> can you make a restaurant reservation for four,i'm on it
<context> <user> can you make a restaurant reservation for four <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you make a restaurant reservation for four <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with spanish food,where should it be
<context> <user> can you make a restaurant reservation for four <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <query> madrid please,which price range are looking for
<context> <user> can you make a restaurant reservation for four <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <user> madrid please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you
<context> <user> can you make a restaurant reservation for four <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish food <system> where should it be <user> madrid please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish madrid four expensive
<query> can you book a table for two with indian food,i'm on it
<context> <user> can you book a table for two with indian food <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> can you book a table for two with indian food <system> i'm on it <user> <SILENCE> <system> where should it be <query> madrid please,which price range are looking for
<context> <user> can you book a table for two with indian food <system> i'm on it <user> <SILENCE> <system> where should it be <user> madrid please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> can you book a table for two with indian food <system> i'm on it <user> <SILENCE> <system> where should it be <user> madrid please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian madrid two cheap
<query> can you make a restaurant reservation for four people with french cuisine in a moderate price range,i'm on it
<context> <user> can you make a restaurant reservation for four people with french cuisine in a moderate price range <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> can you make a restaurant reservation for four people with french cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> paris please,ok let me look into some options for you
<context> <user> can you make a restaurant reservation for four people with french cuisine in a moderate price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> paris please <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris four moderate
<query> may i have a table in paris for eight with indian cuisine in a cheap price range,i'm on it
<context> <user> may i have a table in paris for eight with indian cuisine in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table in paris for eight with indian cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call indian paris eight cheap
<query> can you book a table for six people in a cheap price range,i'm on it
<context> <user> can you book a table for six people in a cheap price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table for six people in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with italian food,where should it be
<context> <user> can you book a table for six people in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian food <system> where should it be <query> in madrid,ok let me look into some options for you
<context> <user> can you book a table for six people in a cheap price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with italian food <system> where should it be <user> in madrid <system> ok let me look into some options for you <query> <SILENCE>,api_call italian madrid six cheap
<query> can you make a restaurant reservation with spanish cuisine in a cheap price range for two people,i'm on it
<context> <user> can you make a restaurant reservation with spanish cuisine in a cheap price range for two people <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> can you make a restaurant reservation with spanish cuisine in a cheap price range for two people <system> i'm on it <user> <SILENCE> <system> where should it be <query> paris please,ok let me look into some options for you
<context> <user> can you make a restaurant reservation with spanish cuisine in a cheap price range for two people <system> i'm on it <user> <SILENCE> <system> where should it be <user> paris please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish paris two cheap
<query> can you book a table with french cuisine for eight people in a cheap price range,i'm on it
<context> <user> can you book a table with french cuisine for eight people in a cheap price range <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> can you book a table with french cuisine for eight people in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> in madrid,ok let me look into some options for you
<context> <user> can you book a table with french cuisine for eight people in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> in madrid <system> ok let me look into some options for you <query> <SILENCE>,api_call french madrid eight cheap
<query> can you book a table with italian food for six people in madrid,i'm on it
<context> <user> can you book a table with italian food for six people in madrid <system> i'm on it <query> <SILENCE>,which price range are looking for
<context> <user> can you book a table with italian food for six people in madrid <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> can you book a table with italian food for six people in madrid <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call italian madrid six expensive
<query> may i have a table in rome for four with italian cuisine,i'm on it
<context> <user> may i have a table in rome for four with italian cuisine <system> i'm on it <query> <SILENCE>,which price range are looking for
<context> <user> may i have a table in rome for four with italian cuisine <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> may i have a table in rome for four with italian cuisine <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call italian rome four moderate
<query> i'd like to book a table in a expensive price range in paris,i'm on it
<context> <user> i'd like to book a table in a expensive price range in paris <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> i'd like to book a table in a expensive price range in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with french cuisine,how many people would be in your party
<context> <user> i'd like to book a table in a expensive price range in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french cuisine <system> how many people would be in your party <query> for eight people please,ok let me look into some options for you
<context> <user> i'd like to book a table in a expensive price range in paris <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french cuisine <system> how many people would be in your party <user> for eight people please <system> ok let me look into some options for you <query> <SILENCE>,api_call french paris eight expensive
<query> can you make a restaurant reservation for four people in bombay with british cuisine,i'm on it
<context> <user> can you make a restaurant reservation for four people in bombay with british cuisine <system> i'm on it <query> <SILENCE>,which price range are looking for
<context> <user> can you make a restaurant reservation for four people in bombay with british cuisine <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> can you make a restaurant reservation for four people in bombay with british cuisine <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay four cheap
<query> may i have a table with indian cuisine in paris,i'm on it
<context> <user> may i have a table with indian cuisine in paris <system> i'm on it <query> <SILENCE>,how many people would be in your party
<context> <user> may i have a table with indian cuisine in paris <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for eight people please,which price range are looking for
<context> <user> may i have a table with indian cuisine in paris <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for eight people please <system> which price range are looking for <query> i am looking for a moderate restaurant,ok let me look into some options for you
<context> <user> may i have a table with indian cuisine in paris <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for eight people please <system> which price range are looking for <user> i am looking for a moderate restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call indian paris eight moderate
<query> i'd like to book a table,i'm on it
<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with indian cuisine,where should it be
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <query> in bombay,how many people would be in your party
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <user> in bombay <system> how many people would be in your party <query> for eight please,which price range are looking for
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with indian cuisine <system> where should it be <user> in bombay <system> how many people would be in your party <user> for eight please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
