Call,Response
<query> may i have a table in seoul,i'm on it
<context> <user> may i have a table in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai cuisine,how many people would be in your party
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <query> for four people please,which price range are looking for
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> for four people please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> for four people please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call thai seoul four expensive
<query> may i have a table,i'm on it
<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai cuisine,where should it be
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <query> tokyo please,how many people would be in your party
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <user> tokyo please <system> how many people would be in your party <query> for two people please,which price range are looking for
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call thai tokyo two expensive
<query> i'd like to book a table in seoul for eight,i'm on it
<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love korean food,which price range are looking for
<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you
<context> <user> i'd like to book a table in seoul for eight <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul eight cheap
<query> may i have a table with cantonese cuisine in a cheap price range in seoul for two people,i'm on it
<context> <user> may i have a table with cantonese cuisine in a cheap price range in seoul for two people <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table with cantonese cuisine in a cheap price range in seoul for two people <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul two cheap
<query> may i have a table in a expensive price range for two,i'm on it
<context> <user> may i have a table in a expensive price range for two <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table in a expensive price range for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love cantonese food,where should it be
<context> <user> may i have a table in a expensive price range for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <query> in beijing,ok let me look into some options for you
<context> <user> may i have a table in a expensive price range for two <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love cantonese food <system> where should it be <user> in beijing <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese beijing two expensive
<query> may i have a table with vietnamese cuisine for two in a cheap price range,i'm on it
<context> <user> may i have a table with vietnamese cuisine for two in a cheap price range <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> may i have a table with vietnamese cuisine for two in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <query> seoul please,ok let me look into some options for you
<context> <user> may i have a table with vietnamese cuisine for two in a cheap price range <system> i'm on it <user> <SILENCE> <system> where should it be <user> seoul please <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese seoul two cheap
<query> i'd like to book a table,i'm on it
<context> <user> i'd like to book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai food,where should it be
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <query> tokyo please,how many people would be in your party
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <user> tokyo please <system> how many people would be in your party <query> for four please,which price range are looking for
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for four please <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> i'd like to book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for four please <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call thai tokyo four moderate
<query> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range,i'm on it
<context> <user> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range <system> i'm on it <query> <SILENCE>,how many people would be in your party
<context> <user> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be eight,ok let me look into some options for you
<context> <user> i'd like to book a table in bangkok with cantonese cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be eight <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese bangkok eight cheap
<query> can you make a restaurant reservation for two people in seoul,i'm on it
<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean food,which price range are looking for
<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you
<context> <user> can you make a restaurant reservation for two people in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul two cheap
<query> may i have a table,i'm on it
<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean food,where should it be
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <query> tokyo please,how many people would be in your party
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> tokyo please <system> how many people would be in your party <query> we will be six,which price range are looking for
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> tokyo please <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean tokyo six moderate
<query> can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range,i'm on it
<context> <user> can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> can you make a restaurant reservation in beijing with cantonese food for six people in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese beijing six cheap
<query> can you make a restaurant reservation with vietnamese food in hanoi,i'm on it
<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <query> <SILENCE>,how many people would be in your party
<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for two people please,which price range are looking for
<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you
<context> <user> can you make a restaurant reservation with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi two cheap
<query> can you make a restaurant reservation,i'm on it
<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with cantonese cuisine,where should it be
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <query> in seoul,how many people would be in your party
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <user> in seoul <system> how many people would be in your party <query> for eight people please,which price range are looking for
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <user> in seoul <system> how many people would be in your party <user> for eight people please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with cantonese cuisine <system> where should it be <user> in seoul <system> how many people would be in your party <user> for eight people please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call cantonese seoul eight expensive
<query> may i have a table in a cheap price range with vietnamese food in hanoi,i'm on it
<context> <user> may i have a table in a cheap price range with vietnamese food in hanoi <system> i'm on it <query> <SILENCE>,how many people would be in your party
<context> <user> may i have a table in a cheap price range with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> we will be four,ok let me look into some options for you
<context> <user> may i have a table in a cheap price range with vietnamese food in hanoi <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> we will be four <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi four cheap
<query> can you book a table,i'm on it
<context> <user> can you book a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love korean food,where should it be
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <query> in hanoi,how many people would be in your party
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <user> in hanoi <system> how many people would be in your party <query> for eight please,which price range are looking for
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <user> in hanoi <system> how many people would be in your party <user> for eight please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> can you book a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love korean food <system> where should it be <user> in hanoi <system> how many people would be in your party <user> for eight please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call korean hanoi eight cheap
<query> i'd like to book a table with korean cuisine for eight,i'm on it
<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <query> <SILENCE>,where should it be
<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <user> <SILENCE> <system> where should it be <query> seoul please,which price range are looking for
<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <user> <SILENCE> <system> where should it be <user> seoul please <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you
<context> <user> i'd like to book a table with korean cuisine for eight <system> i'm on it <user> <SILENCE> <system> where should it be <user> seoul please <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call korean seoul eight moderate
<query> may i have a table with thai cuisine for two people in beijing in a cheap price range,i'm on it
<context> <user> may i have a table with thai cuisine for two people in beijing in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table with thai cuisine for two people in beijing in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai beijing two cheap
<query> can you make a restaurant reservation,i'm on it
<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with vietnamese cuisine,where should it be
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <query> hanoi please,how many people would be in your party
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <user> hanoi please <system> how many people would be in your party <query> for six people please,which price range are looking for
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <user> hanoi please <system> how many people would be in your party <user> for six people please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> where should it be <user> hanoi please <system> how many people would be in your party <user> for six people please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi six cheap
<query> i'd like to book a table in bangkok,i'm on it
<context> <user> i'd like to book a table in bangkok <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with vietnamese cuisine,how many people would be in your party
<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> how many people would be in your party <query> for two please,which price range are looking for
<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> how many people would be in your party <user> for two please <system> which price range are looking for <query> i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user> i'd like to book a table in bangkok <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with vietnamese cuisine <system> how many people would be in your party <user> for two please <system> which price range are looking for <user> i am looking for a cheap restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese bangkok two cheap
<query> can you book a table with korean cuisine in beijing,i'm on it
<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <query> <SILENCE>,how many people would be in your party
<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for eight please,which price range are looking for
<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for eight please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> can you book a table with korean cuisine in beijing <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for eight please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call korean beijing eight expensive
<query> may i have a table in seoul,i'm on it
<context> <user> may i have a table in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai cuisine,how many people would be in your party
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <query> we will be six,which price range are looking for
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> we will be six <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you
<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> we will be six <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call thai seoul six expensive
<query> i'd like to book a table in hanoi with vietnamese food in a moderate price range for four,i'm on it
<context> <user> i'd like to book a table in hanoi with vietnamese food in a moderate price range for four <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> i'd like to book a table in hanoi with vietnamese food in a moderate price range for four <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese hanoi four moderate
<query> can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine,i'm on it
<context> <user> can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> can you make a restaurant reservation in a expensive price range in beijing for six people with thai cuisine <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai beijing six expensive
<query> can you make a restaurant reservation,i'm on it
<context> <user> can you make a restaurant reservation <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with korean food,where should it be
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <query> seoul please,how many people would be in your party
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> seoul please <system> how many people would be in your party <query> for two please,which price range are looking for
<context> <user> can you make a restaurant reservation <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with korean food <system> where should it be <user> seoul please <system> how many people would be in your party <user> for two please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you
