Call,Response
<query>  good morning,hello what can i help you with today
<query>  may i have a table,i'm on it
<context> <user>  may i have a table <system> i'm on it <query>  <SILENCE>,any preference on a type of cuisine
<context> <user>  may i have a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <query>  with indian cuisine,where should it be
<context> <user>  may i have a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <query>  rome please,how many people would be in your party
<context> <user>  may i have a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  rome please <system> how many people would be in your party <query>  we will be eight,which price range are looking for
<context> <user>  may i have a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  rome please <system> how many people would be in your party <user>  we will be eight <system> which price range are looking for <query>  i am looking for a cheap restaurant,ok let me look into some options for you
<context> <user>  may i have a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  rome please <system> how many people would be in your party <user>  we will be eight <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_rome_cheap_indian_7stars
<context> <user>  may i have a table <system> i'm on it <user>  <SILENCE> <system> any preference on a type of cuisine <user>  with indian cuisine <system> where should it be <user>  rome please <system> how many people would be in your party <user>  we will be eight <system> which price range are looking for <user>  i am looking for a cheap restaurant <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_rome_cheap_indian_7stars <query>  i love that,great let me do the reservation
<query>  good morning,hello what can i help you with today
<query>  can you book a table in bombay with spanish cuisine for six people in a cheap price range,i'm on it
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <query>  <SILENCE>,ok let me look into some options for you
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_8stars
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <query>  no this does not work for me,sure let me find an other option for you
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_7stars
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you book a table in bombay with spanish cuisine for six people in a cheap price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_8stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_bombay_cheap_spanish_7stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_6stars
