Call,Response,Count
can you book a table with british cuisine for six people in madrid in a expensive price range,i'm on it,1
<SILENCE>,ok let me look into some options for you,1
<SILENCE>,api_call british madrid six expensive,1
instead could it be in a moderate price range,sure is there anything else to update,1
actually i would prefer for two people,sure is there anything else to update,1
instead could it be in bombay,sure is there anything else to update,1
no,ok let me look into some options for you,1
<SILENCE>,api_call british bombay two moderate,1
 thanks,you're welcome,1
may i have a table in a cheap price range in rome with italian cuisine for six,i'm on it,2
<SILENCE>,ok let me look into some options for you,2
<SILENCE>,api_call italian rome six cheap,2
instead could it be in bombay,sure is there anything else to update,2
no,ok let me look into some options for you,2
<SILENCE>,api_call italian bombay six cheap,2
thanks,you're welcome,2
i'd like to book a table with spanish food in a moderate price range for six in london,i'm on it,3
<SILENCE>,ok let me look into some options for you,3
<SILENCE>,api_call spanish london six moderate,3
instead could it be in a expensive price range,sure is there anything else to update,3
actually i would prefer for four people,sure is there anything else to update,3
actually i would prefer with french cuisine,sure is there anything else to update,3
instead could it be in paris,sure is there anything else to update,3
no,ok let me look into some options for you,3
 <SILENCE>,api_call french paris four expensive,3
 thanks,you're welcome,3
i'd like to book a table in a cheap price range for eight people in madrid with indian food,i'm on it,4
<SILENCE>,ok let me look into some options for you,4
<SILENCE>,api_call indian madrid eight cheap,4
instead could it be with spanish food,sure is there anything else to update,4
actually i would prefer in bombay,sure is there anything else to update,4
actually i would prefer in a expensive price range,sure is there anything else to update,4
instead could it be for six people,sure is there anything else to update,4
no,ok let me look into some options for you,4
 <SILENCE>,api_call spanish bombay six expensive,4
 thank you,you're welcome,4
i'd like to book a table for eight in a moderate price range in bombay with french cuisine,i'm on it,5
<SILENCE>,ok let me look into some options for you,5
<SILENCE>,api_call french bombay eight moderate,5
actually i would prefer with british food,sure is there anything else to update,5
actually i would prefer for six people,sure is there anything else to update,5
actually i would prefer in a cheap price range,sure is there anything else to update,5
no,ok let me look into some options for you,5
<SILENCE>,api_call british bombay six cheap,5
 thanks,you're welcome,5
may i have a table in paris in a moderate price range for six with italian cuisine,i'm on it,6
<SILENCE>,ok let me look into some options for you,6
<SILENCE>,api_call italian paris six moderate,6
actually i would prefer in rome,sure is there anything else to update,6
instead could it be for two,sure is there anything else to update,6
actually i would prefer with british cuisine,sure is there anything else to update,6
no,ok let me look into some options for you,6
<SILENCE>,api_call british rome two moderate,6
 thanks,you're welcome,6
can you make a restaurant reservation in rome with spanish cuisine in a expensive price range for six,i'm on it,7
<SILENCE>,ok let me look into some options for you,7
<SILENCE>,api_call spanish rome six expensive,7
instead could it be with italian cuisine,sure is there anything else to update,7
instead could it be in london,sure is there anything else to update,7
actually i would prefer for two people,sure is there anything else to update,7
actually i would prefer in a cheap price range,sure is there anything else to update,7
no,ok let me look into some options for you,7
 <SILENCE>,api_call italian london two cheap,7
 thank you,you're welcome,7
