Call,Response
<query> may i have a table for six in tokyo with thai cuisine in a cheap price range,i'm on it
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call thai tokyo six cheap
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <query> actually i would prefer for eight people,sure is there anything else to update
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <user> actually i would prefer for eight people <system> sure is there anything else to update <query> actually i would prefer with vietnamese cuisine,sure is there anything else to update
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <user> actually i would prefer for eight people <system> sure is there anything else to update <user> actually i would prefer with vietnamese cuisine <system> sure is there anything else to update <query> actually i would prefer in a expensive price range,sure is there anything else to update
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <user> actually i would prefer for eight people <system> sure is there anything else to update <user> actually i would prefer with vietnamese cuisine <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <query> actually i would prefer in seoul,sure is there anything else to update
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <user> actually i would prefer for eight people <system> sure is there anything else to update <user> actually i would prefer with vietnamese cuisine <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> actually i would prefer in seoul <system> sure is there anything else to update <query> no,ok let me look into some options for you
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <user> actually i would prefer for eight people <system> sure is there anything else to update <user> actually i would prefer with vietnamese cuisine <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> actually i would prefer in seoul <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query>  <SILENCE>,api_call vietnamese seoul eight expensive
<context> <user> may i have a table for six in tokyo with thai cuisine in a cheap price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call thai tokyo six cheap <user> actually i would prefer for eight people <system> sure is there anything else to update <user> actually i would prefer with vietnamese cuisine <system> sure is there anything else to update <user> actually i would prefer in a expensive price range <system> sure is there anything else to update <user> actually i would prefer in seoul <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user>  <SILENCE> <system> api_call vietnamese seoul eight expensive <query>  you rock,you're welcome
<query> can you book a table in beijing in a cheap price range for six with vietnamese food,i'm on it
<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call vietnamese beijing six cheap
<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six cheap <query> instead could it be with japanese food,sure is there anything else to update
<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six cheap <user> instead could it be with japanese food <system> sure is there anything else to update <query> instead could it be in bangkok,sure is there anything else to update
<context> <user> can you book a table in beijing in a cheap price range for six with vietnamese food <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call vietnamese beijing six cheap <user> instead could it be with japanese food <system> sure is there anything else to update <user> instead could it be in bangkok <system> sure is there anything else to update <query> actually i would prefer for four people,sure is there anything else to update
