,source_text,target_text,pred_text
0,<query> can you book a table in a cheap price range in london,i'm on it,i'm on it
1,<context> <user> can you book a table in a cheap price range in london <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
2,<context> <user> can you book a table in a cheap price range in london <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with french food,how many people would be in your party,how many people would be in your party
3,<context> <user> can you book a table in a cheap price range in london <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <query> for four please,ok let me look into some options for you,ok let me look into some options for you
4,<context> <user> can you book a table in a cheap price range in london <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with french food <system> how many people would be in your party <user> for four please <system> ok let me look into some options for you <query> <SILENCE>,api_call french london four cheap,api_call french london four cheap
5,<query> may i have a table,i'm on it,i'm on it
6,<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
7,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with spanish cuisine,where should it be,where should it be
8,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <query> in london,how many people would be in your party,how many people would be in your party
9,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> in london <system> how many people would be in your party <query> we will be four,which price range are looking for,which price range are looking for
10,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> in london <system> how many people would be in your party <user> we will be four <system> which price range are looking for <query> in a moderate price range please,ok let me look into some options for you,ok let me look into some options for you
11,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <user> in london <system> how many people would be in your party <user> we will be four <system> which price range are looking for <user> in a moderate price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call spanish london four moderate,api_call spanish london four moderate
12,<query> can you make a restaurant reservation for eight people in a cheap price range with british cuisine,i'm on it,i'm on it
13,<context> <user> can you make a restaurant reservation for eight people in a cheap price range with british cuisine <system> i'm on it <query> <SILENCE>,where should it be,where should it be
14,<context> <user> can you make a restaurant reservation for eight people in a cheap price range with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <query> in madrid,ok let me look into some options for you,ok let me look into some options for you
15,<context> <user> can you make a restaurant reservation for eight people in a cheap price range with british cuisine <system> i'm on it <user> <SILENCE> <system> where should it be <user> in madrid <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid eight cheap,api_call british madrid eight cheap
16,<query> can you book a table in a moderate price range,i'm on it,i'm on it
17,<context> <user> can you book a table in a moderate price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
18,<context> <user> can you book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> i love indian food,where should it be,where should it be
19,<context> <user> can you book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <query> bombay please,how many people would be in your party,how many people would be in your party
20,<context> <user> can you book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <user> bombay please <system> how many people would be in your party <query> we will be four,ok let me look into some options for you,ok let me look into some options for you
21,<context> <user> can you book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> i love indian food <system> where should it be <user> bombay please <system> how many people would be in your party <user> we will be four <system> ok let me look into some options for you <query> <SILENCE>,api_call indian bombay four moderate,api_call indian bombay four moderate
22,<query> may i have a table in a moderate price range with indian cuisine in london,i'm on it,i'm on it
23,<context> <user> may i have a table in a moderate price range with indian cuisine in london <system> i'm on it <query> <SILENCE>,how many people would be in your party,how many people would be in your party
24,<context> <user> may i have a table in a moderate price range with indian cuisine in london <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <query> for four people please,ok let me look into some options for you,ok let me look into some options for you
25,<context> <user> may i have a table in a moderate price range with indian cuisine in london <system> i'm on it <user> <SILENCE> <system> how many people would be in your party <user> for four people please <system> ok let me look into some options for you <query> <SILENCE>,api_call indian london four moderate,api_call indian london four moderate
26,<query> i'd like to book a table for four people in london with french food,i'm on it,i'm on it
27,<context> <user> i'd like to book a table for four people in london with french food <system> i'm on it <query> <SILENCE>,which price range are looking for,which price range are looking for
28,<context> <user> i'd like to book a table for four people in london with french food <system> i'm on it <user> <SILENCE> <system> which price range are looking for <query> in a cheap price range please,ok let me look into some options for you,ok let me look into some options for you
29,<context> <user> i'd like to book a table for four people in london with french food <system> i'm on it <user> <SILENCE> <system> which price range are looking for <user> in a cheap price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call french london four cheap,api_call french london four cheap
30,<query> i'd like to book a table in a moderate price range,i'm on it,i'm on it
31,<context> <user> i'd like to book a table in a moderate price range <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
32,<context> <user> i'd like to book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with spanish cuisine,where should it be,where should it be
33,<context> <user> i'd like to book a table in a moderate price range <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with spanish cuisine <system> where should it be <query> london please,how many people would be in your party,how many people would be in your party
