Call,Response,Count,KB,Details
hello,hello what can i help you with today,1,,
i'd like to book a table at resto_london_cheap_british_8stars,great let me do the reservation,1,<KB> resto_london_cheap_british_8stars, <R_cuisine> british <R_address> resto_london_cheap_british_8stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,2,,
i'd like to book a table at resto_london_cheap_italian_3stars,great let me do the reservation,2,<KB> resto_london_cheap_italian_3stars, <R_cuisine> italian <R_address> resto_london_cheap_italian_3stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 3 
hi,hello what can i help you with today,3,,
may i have a table at resto_london_cheap_french_1stars,great let me do the reservation,3,<KB> resto_london_cheap_french_1stars, <R_cuisine> french <R_address> resto_london_cheap_french_1stars_address <R_location> london <R_number> eight <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,4,,
i'd like to book a table at resto_bombay_moderate_british_4stars,great let me do the reservation,4,<KB> resto_bombay_moderate_british_4stars, <R_cuisine> british <R_address> resto_bombay_moderate_british_4stars_address <R_location> bombay <R_number> eight <R_price> moderate <R_rating> 4 
hello,hello what can i help you with today,5,,
can you make a restaurant reservation at resto_rome_expensive_spanish_3stars,great let me do the reservation,5,<KB> resto_rome_expensive_spanish_3stars, <R_cuisine> spanish <R_address> resto_rome_expensive_spanish_3stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 3 
hi,hello what can i help you with today,6,,
i'd like to book a table at resto_madrid_expensive_british_3stars,great let me do the reservation,6,<KB> resto_madrid_expensive_british_3stars, <R_cuisine> british <R_address> resto_madrid_expensive_british_3stars_address <R_location> madrid <R_number> four <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,7,,
can you make a restaurant reservation at resto_rome_expensive_italian_5stars,great let me do the reservation,7,<KB> resto_rome_expensive_italian_5stars, <R_cuisine> italian <R_address> resto_rome_expensive_italian_5stars_address <R_location> rome <R_number> two <R_price> expensive <R_rating> 5 
hello,hello what can i help you with today,8,,
can you make a restaurant reservation at resto_rome_cheap_french_1stars,great let me do the reservation,8,<KB> resto_rome_cheap_french_1stars, <R_cuisine> french <R_address> resto_rome_cheap_french_1stars_address <R_location> rome <R_number> four <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,9,,
can you make a restaurant reservation at resto_paris_expensive_french_6stars,great let me do the reservation,9,<KB> resto_paris_expensive_french_6stars, <R_cuisine> french <R_address> resto_paris_expensive_french_6stars_address <R_location> paris <R_number> eight <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,10,,
may i have a table at resto_london_cheap_spanish_2stars,great let me do the reservation,10,<KB> resto_london_cheap_spanish_2stars, <R_cuisine> spanish <R_address> resto_london_cheap_spanish_2stars_address <R_location> london <R_number> two <R_price> cheap <R_rating> 2 
hi,hello what can i help you with today,11,,
i'd like to book a table at resto_bombay_expensive_british_7stars,great let me do the reservation,11,<KB> resto_bombay_expensive_british_7stars, <R_cuisine> british <R_address> resto_bombay_expensive_british_7stars_address <R_location> bombay <R_number> four <R_price> expensive <R_rating> 7 
hello,hello what can i help you with today,12,,
