Call,Response,Count
can you make a restaurant reservation with italian food for eight in bombay in a expensive price range,i'm on it,1
<SILENCE>,ok let me look into some options for you,1
<SILENCE>,api_call italian bombay eight expensive,1
instead could it be with indian cuisine,sure is there anything else to update,1
actually i would prefer for six people,sure is there anything else to update,1
actually i would prefer in madrid,sure is there anything else to update,1
no,ok let me look into some options for you,1
<SILENCE>,api_call indian madrid six expensive,1
 thanks,you're welcome,1
can you make a restaurant reservation in paris with french food in a cheap price range for four,i'm on it,2
<SILENCE>,ok let me look into some options for you,2
<SILENCE>,api_call french paris four cheap,2
instead could it be in a expensive price range,sure is there anything else to update,2
instead could it be with indian food,sure is there anything else to update,2
no,ok let me look into some options for you,2
<SILENCE>,api_call indian paris four expensive,2
you rock,you're welcome,2
may i have a table in a moderate price range with spanish food in bombay for two people,i'm on it,3
<SILENCE>,ok let me look into some options for you,3
<SILENCE>,api_call spanish bombay two moderate,3
instead could it be with british cuisine,sure is there anything else to update,3
no,ok let me look into some options for you,3
<SILENCE>,api_call british bombay two moderate,3
you rock,you're welcome,3
i'd like to book a table in a cheap price range for six people with spanish cuisine in madrid,i'm on it,4
<SILENCE>,ok let me look into some options for you,4
<SILENCE>,api_call spanish madrid six cheap,4
instead could it be for four,sure is there anything else to update,4
actually i would prefer in rome,sure is there anything else to update,4
no,ok let me look into some options for you,4
<SILENCE>,api_call spanish rome four cheap,4
thanks,you're welcome,4
can you make a restaurant reservation in a cheap price range in london with spanish food for eight people,i'm on it,5
<SILENCE>,ok let me look into some options for you,5
<SILENCE>,api_call spanish london eight cheap,5
instead could it be with indian food,sure is there anything else to update,5
actually i would prefer for four people,sure is there anything else to update,5
no,ok let me look into some options for you,5
<SILENCE>,api_call indian london four cheap,5
thanks,you're welcome,5
can you book a table in rome in a moderate price range with british food for four people,i'm on it,6
<SILENCE>,ok let me look into some options for you,6
<SILENCE>,api_call british rome four moderate,6
instead could it be for two people,sure is there anything else to update,6
instead could it be with italian food,sure is there anything else to update,6
no,ok let me look into some options for you,6
<SILENCE>,api_call italian rome two moderate,6
you rock,you're welcome,6
can you book a table for six in a expensive price range with indian food in madrid,i'm on it,7
<SILENCE>,ok let me look into some options for you,7
<SILENCE>,api_call indian madrid six expensive,7
