Call,Response,Count,KB,Details
hello,hello what can i help you with today,1,,
can you make a restaurant reservation at resto_hanoi_expensive_japanese_1stars,great let me do the reservation,1,<KB> resto_hanoi_expensive_japanese_1stars, <R_cuisine> japanese <R_address> resto_hanoi_expensive_japanese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,2,,
can you book a table at resto_tokyo_moderate_vietnamese_1stars,great let me do the reservation,2,<KB> resto_tokyo_moderate_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_tokyo_moderate_vietnamese_1stars_address <R_location> tokyo <R_number> two <R_price> moderate <R_rating> 1 
good morning,hello what can i help you with today,3,,
may i have a table at resto_beijing_cheap_korean_6stars,great let me do the reservation,3,<KB> resto_beijing_cheap_korean_6stars, <R_cuisine> korean <R_address> resto_beijing_cheap_korean_6stars_address <R_location> beijing <R_number> six <R_price> cheap <R_rating> 6 
hi,hello what can i help you with today,4,,
may i have a table at resto_bangkok_expensive_korean_5stars,great let me do the reservation,4,<KB> resto_bangkok_expensive_korean_5stars, <R_cuisine> korean <R_address> resto_bangkok_expensive_korean_5stars_address <R_location> bangkok <R_number> six <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,5,,
can you make a restaurant reservation at resto_seoul_moderate_japanese_1stars,great let me do the reservation,5,<KB> resto_seoul_moderate_japanese_1stars, <R_cuisine> japanese <R_address> resto_seoul_moderate_japanese_1stars_address <R_location> seoul <R_number> six <R_price> moderate <R_rating> 1 
good morning,hello what can i help you with today,6,,
may i have a table at resto_seoul_expensive_japanese_7stars,great let me do the reservation,6,<KB> resto_seoul_expensive_japanese_7stars, <R_cuisine> japanese <R_address> resto_seoul_expensive_japanese_7stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 7 
hi,hello what can i help you with today,7,,
can you book a table at resto_tokyo_cheap_thai_7stars,great let me do the reservation,7,<KB> resto_tokyo_cheap_thai_7stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_7stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,8,,
i'd like to book a table at resto_seoul_expensive_cantonese_5stars,great let me do the reservation,8,<KB> resto_seoul_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_expensive_cantonese_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,9,,
i'd like to book a table at resto_bangkok_moderate_japanese_6stars,great let me do the reservation,9,<KB> resto_bangkok_moderate_japanese_6stars, <R_cuisine> japanese <R_address> resto_bangkok_moderate_japanese_6stars_address <R_location> bangkok <R_number> eight <R_price> moderate <R_rating> 6 
hi,hello what can i help you with today,10,,
can you book a table at resto_bangkok_moderate_thai_5stars,great let me do the reservation,10,<KB> resto_bangkok_moderate_thai_5stars, <R_cuisine> thai <R_address> resto_bangkok_moderate_thai_5stars_address <R_location> bangkok <R_number> two <R_price> moderate <R_rating> 5 
hello,hello what can i help you with today,11,,
can you book a table at resto_seoul_expensive_vietnamese_6stars,great let me do the reservation,11,<KB> resto_seoul_expensive_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_seoul_expensive_vietnamese_6stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 6 
hello,hello what can i help you with today,12,,
may i have a table at resto_hanoi_cheap_vietnamese_3stars,great let me do the reservation,12,<KB> resto_hanoi_cheap_vietnamese_3stars, <R_cuisine> vietnamese <R_address> resto_hanoi_cheap_vietnamese_3stars_address <R_location> hanoi <R_number> eight <R_price> cheap <R_rating> 3 
good morning,hello what can i help you with today,13,,
can you book a table at resto_hanoi_expensive_korean_3stars,great let me do the reservation,13,<KB> resto_hanoi_expensive_korean_3stars, <R_cuisine> korean <R_address> resto_hanoi_expensive_korean_3stars_address <R_location> hanoi <R_number> two <R_price> expensive <R_rating> 3 
good morning,hello what can i help you with today,14,,
may i have a table at resto_tokyo_cheap_korean_1stars,great let me do the reservation,14,<KB> resto_tokyo_cheap_korean_1stars, <R_cuisine> korean <R_address> resto_tokyo_cheap_korean_1stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 1 
hello,hello what can i help you with today,15,,
may i have a table at resto_bangkok_cheap_vietnamese_6stars,great let me do the reservation,15,<KB> resto_bangkok_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_bangkok_cheap_vietnamese_6stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,16,,
may i have a table at resto_tokyo_cheap_vietnamese_8stars,great let me do the reservation,16,<KB> resto_tokyo_cheap_vietnamese_8stars, <R_cuisine> vietnamese <R_address> resto_tokyo_cheap_vietnamese_8stars_address <R_location> tokyo <R_number> eight <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,17,,
can you make a restaurant reservation at resto_seoul_expensive_thai_1stars,great let me do the reservation,17,<KB> resto_seoul_expensive_thai_1stars, <R_cuisine> thai <R_address> resto_seoul_expensive_thai_1stars_address <R_location> seoul <R_number> eight <R_price> expensive <R_rating> 1 
hi,hello what can i help you with today,18,,
can you make a restaurant reservation at resto_bangkok_moderate_cantonese_2stars,great let me do the reservation,18,<KB> resto_bangkok_moderate_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_bangkok_moderate_cantonese_2stars_address <R_location> bangkok <R_number> six <R_price> moderate <R_rating> 2 
hi,hello what can i help you with today,19,,
can you make a restaurant reservation at resto_tokyo_expensive_korean_5stars,great let me do the reservation,19,<KB> resto_tokyo_expensive_korean_5stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_5stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 5 
hi,hello what can i help you with today,20,,
may i have a table at resto_tokyo_expensive_cantonese_2stars,great let me do the reservation,20,<KB> resto_tokyo_expensive_cantonese_2stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_2stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 2 
good morning,hello what can i help you with today,21,,
may i have a table at resto_tokyo_cheap_japanese_4stars,great let me do the reservation,21,<KB> resto_tokyo_cheap_japanese_4stars, <R_cuisine> japanese <R_address> resto_tokyo_cheap_japanese_4stars_address <R_location> tokyo <R_number> two <R_price> cheap <R_rating> 4 
hello,hello what can i help you with today,22,,
i'd like to book a table at resto_tokyo_expensive_korean_8stars,great let me do the reservation,22,<KB> resto_tokyo_expensive_korean_8stars, <R_cuisine> korean <R_address> resto_tokyo_expensive_korean_8stars_address <R_location> tokyo <R_number> six <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,23,,
may i have a table at resto_bangkok_cheap_japanese_1stars,great let me do the reservation,23,<KB> resto_bangkok_cheap_japanese_1stars, <R_cuisine> japanese <R_address> resto_bangkok_cheap_japanese_1stars_address <R_location> bangkok <R_number> eight <R_price> cheap <R_rating> 1 
hi,hello what can i help you with today,24,,
can you make a restaurant reservation at resto_seoul_expensive_cantonese_5stars,great let me do the reservation,24,<KB> resto_seoul_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_seoul_expensive_cantonese_5stars_address <R_location> seoul <R_number> two <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,25,,
i'd like to book a table at resto_beijing_cheap_vietnamese_6stars,great let me do the reservation,25,<KB> resto_beijing_cheap_vietnamese_6stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_6stars_address <R_location> beijing <R_number> eight <R_price> cheap <R_rating> 6 
hello,hello what can i help you with today,26,,
may i have a table at resto_hanoi_expensive_vietnamese_1stars,great let me do the reservation,26,<KB> resto_hanoi_expensive_vietnamese_1stars, <R_cuisine> vietnamese <R_address> resto_hanoi_expensive_vietnamese_1stars_address <R_location> hanoi <R_number> six <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,27,,
can you book a table at resto_tokyo_cheap_thai_8stars,great let me do the reservation,27,<KB> resto_tokyo_cheap_thai_8stars, <R_cuisine> thai <R_address> resto_tokyo_cheap_thai_8stars_address <R_location> tokyo <R_number> four <R_price> cheap <R_rating> 8 
good morning,hello what can i help you with today,28,,
can you book a table at resto_seoul_cheap_thai_7stars,great let me do the reservation,28,<KB> resto_seoul_cheap_thai_7stars, <R_cuisine> thai <R_address> resto_seoul_cheap_thai_7stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 7 
hi,hello what can i help you with today,29,,
can you book a table at resto_beijing_expensive_thai_6stars,great let me do the reservation,29,<KB> resto_beijing_expensive_thai_6stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_6stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 6 
good morning,hello what can i help you with today,30,,
i'd like to book a table at resto_tokyo_expensive_cantonese_5stars,great let me do the reservation,30,<KB> resto_tokyo_expensive_cantonese_5stars, <R_cuisine> cantonese <R_address> resto_tokyo_expensive_cantonese_5stars_address <R_location> tokyo <R_number> four <R_price> expensive <R_rating> 5 
good morning,hello what can i help you with today,31,,
can you make a restaurant reservation at resto_seoul_cheap_korean_8stars,great let me do the reservation,31,<KB> resto_seoul_cheap_korean_8stars, <R_cuisine> korean <R_address> resto_seoul_cheap_korean_8stars_address <R_location> seoul <R_number> eight <R_price> cheap <R_rating> 8 
hello,hello what can i help you with today,32,,
can you make a restaurant reservation at resto_beijing_cheap_vietnamese_5stars,great let me do the reservation,32,<KB> resto_beijing_cheap_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_beijing_cheap_vietnamese_5stars_address <R_location> beijing <R_number> two <R_price> cheap <R_rating> 5 
good morning,hello what can i help you with today,33,,
can you book a table at resto_hanoi_moderate_vietnamese_7stars,great let me do the reservation,33,<KB> resto_hanoi_moderate_vietnamese_7stars, <R_cuisine> vietnamese <R_address> resto_hanoi_moderate_vietnamese_7stars_address <R_location> hanoi <R_number> six <R_price> moderate <R_rating> 7 
hello,hello what can i help you with today,34,,
i'd like to book a table at resto_seoul_moderate_vietnamese_5stars,great let me do the reservation,34,<KB> resto_seoul_moderate_vietnamese_5stars, <R_cuisine> vietnamese <R_address> resto_seoul_moderate_vietnamese_5stars_address <R_location> seoul <R_number> four <R_price> moderate <R_rating> 5 
good morning,hello what can i help you with today,35,,
i'd like to book a table at resto_bangkok_expensive_cantonese_8stars,great let me do the reservation,35,<KB> resto_bangkok_expensive_cantonese_8stars, <R_cuisine> cantonese <R_address> resto_bangkok_expensive_cantonese_8stars_address <R_location> bangkok <R_number> eight <R_price> expensive <R_rating> 8 
hello,hello what can i help you with today,36,,
i'd like to book a table at resto_beijing_expensive_thai_1stars,great let me do the reservation,36,<KB> resto_beijing_expensive_thai_1stars, <R_cuisine> thai <R_address> resto_beijing_expensive_thai_1stars_address <R_location> beijing <R_number> two <R_price> expensive <R_rating> 1 
hello,hello what can i help you with today,37,,
