Call,Response
<query>  good morning,hello what can i help you with today
<query>  can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing,i'm on it
<context> <user>  can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing <system> i'm on it <query>  <SILENCE>,ok let me look into some options for you
<context> <user>  can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_8stars
<context> <user>  can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_beijing_cheap_thai_8stars <query>  do you have something else,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_beijing_cheap_thai_8stars <user>  do you have something else <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_5stars
<context> <user>  can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_beijing_cheap_thai_8stars <user>  do you have something else <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_beijing_cheap_thai_5stars <query>  it's perfect,great let me do the reservation
<query>  good morning,hello what can i help you with today
<query>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range,i'm on it
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <query>  <SILENCE>,ok let me look into some options for you
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_7stars
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_7stars <query>  no i don't like that,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_7stars <user>  no i don't like that <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_6stars
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_6stars <query>  no this does not work for me,sure let me find an other option for you
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_6stars <user>  no this does not work for me <system> sure let me find an other option for you <query>  <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_3stars
<context> <user>  can you make a restaurant reservation for four with thai food in tokyo in a expensive price range <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_7stars <user>  no i don't like that <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_6stars <user>  no this does not work for me <system> sure let me find an other option for you <user>  <SILENCE> <system> what do you think of this option: resto_tokyo_expensive_thai_3stars <query>  let's do it,great let me do the reservation
<query>  good morning,hello what can i help you with today
<query>  can you make a restaurant reservation with thai food in a cheap price range in beijing for six people,i'm on it
<context> <user>  can you make a restaurant reservation with thai food in a cheap price range in beijing for six people <system> i'm on it <query>  <SILENCE>,ok let me look into some options for you
<context> <user>  can you make a restaurant reservation with thai food in a cheap price range in beijing for six people <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <query>  <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_8stars
<context> <user>  can you make a restaurant reservation with thai food in a cheap price range in beijing for six people <system> i'm on it <user>  <SILENCE> <system> ok let me look into some options for you <user>  <SILENCE> <system> what do you think of this option: resto_beijing_cheap_thai_8stars <query>  no i don't like that,sure let me find an other option for you
