Call,Response,Count
may i have a table in seoul,i'm on it,1
<SILENCE>,any preference on a type of cuisine,1
with thai cuisine,how many people would be in your party,1
for four people please,which price range are looking for,1
in a expensive price range please,ok let me look into some options for you,1
<SILENCE>,api_call thai seoul four expensive,1
may i have a table,i'm on it,2
<SILENCE>,any preference on a type of cuisine,2
with thai cuisine,where should it be,2
tokyo please,how many people would be in your party,2
for two people please,which price range are looking for,2
i am looking for a expensive restaurant,ok let me look into some options for you,2
<SILENCE>,api_call thai tokyo two expensive,2
i'd like to book a table in seoul for eight,i'm on it,3
<SILENCE>,any preference on a type of cuisine,3
i love korean food,which price range are looking for,3
in a cheap price range please,ok let me look into some options for you,3
<SILENCE>,api_call korean seoul eight cheap,3
may i have a table with cantonese cuisine in a cheap price range in seoul for two people,i'm on it,4
<SILENCE>,ok let me look into some options for you,4
<SILENCE>,api_call cantonese seoul two cheap,4
may i have a table in a expensive price range for two,i'm on it,5
<SILENCE>,any preference on a type of cuisine,5
i love cantonese food,where should it be,5
in beijing,ok let me look into some options for you,5
<SILENCE>,api_call cantonese beijing two expensive,5
may i have a table with vietnamese cuisine for two in a cheap price range,i'm on it,6
<SILENCE>,where should it be,6
seoul please,ok let me look into some options for you,6
<SILENCE>,api_call vietnamese seoul two cheap,6
i'd like to book a table,i'm on it,7
<SILENCE>,any preference on a type of cuisine,7
with thai food,where should it be,7
tokyo please,how many people would be in your party,7
for four please,which price range are looking for,7
in a moderate price range please,ok let me look into some options for you,7
<SILENCE>,api_call thai tokyo four moderate,7
i'd like to book a table in bangkok with cantonese cuisine in a cheap price range,i'm on it,8
<SILENCE>,how many people would be in your party,8
we will be eight,ok let me look into some options for you,8
<SILENCE>,api_call cantonese bangkok eight cheap,8
can you make a restaurant reservation for two people in seoul,i'm on it,9
<SILENCE>,any preference on a type of cuisine,9
with korean food,which price range are looking for,9
in a cheap price range please,ok let me look into some options for you,9
<SILENCE>,api_call korean seoul two cheap,9
may i have a table,i'm on it,10
<SILENCE>,any preference on a type of cuisine,10
with korean food,where should it be,10
tokyo please,how many people would be in your party,10
we will be six,which price range are looking for,10
in a moderate price range please,ok let me look into some options for you,10
