Call,Response,Count
can you book a table,i'm on it,1
<SILENCE>,any preference on a type of cuisine,1
i love italian food,where should it be,1
in paris,how many people would be in your party,1
we will be two,which price range are looking for,1
in a cheap price range please,ok let me look into some options for you,1
<SILENCE>,api_call italian paris two cheap,1
can you book a table,i'm on it,2
<SILENCE>,any preference on a type of cuisine,2
i love italian food,where should it be,2
in london,how many people would be in your party,2
we will be eight,which price range are looking for,2
i am looking for a cheap restaurant,ok let me look into some options for you,2
<SILENCE>,api_call italian london eight cheap,2
may i have a table in a moderate price range with british cuisine for two in bombay,i'm on it,3
<SILENCE>,ok let me look into some options for you,3
<SILENCE>,api_call british bombay two moderate,3
i'd like to book a table with british cuisine,i'm on it,4
<SILENCE>,where should it be,4
in bombay,how many people would be in your party,4
for two please,which price range are looking for,4
in a expensive price range please,ok let me look into some options for you,4
<SILENCE>,api_call british bombay two expensive,4
can you book a table,i'm on it,5
<SILENCE>,any preference on a type of cuisine,5
with indian cuisine,where should it be,5
in london,how many people would be in your party,5
we will be six,which price range are looking for,5
i am looking for a moderate restaurant,ok let me look into some options for you,5
<SILENCE>,api_call indian london six moderate,5
can you make a restaurant reservation for four,i'm on it,6
<SILENCE>,any preference on a type of cuisine,6
with spanish food,where should it be,6
madrid please,which price range are looking for,6
in a expensive price range please,ok let me look into some options for you,6
<SILENCE>,api_call spanish madrid four expensive,6
can you book a table for two with indian food,i'm on it,7
<SILENCE>,where should it be,7
madrid please,which price range are looking for,7
i am looking for a cheap restaurant,ok let me look into some options for you,7
<SILENCE>,api_call indian madrid two cheap,7
can you make a restaurant reservation for four people with french cuisine in a moderate price range,i'm on it,8
<SILENCE>,where should it be,8
paris please,ok let me look into some options for you,8
<SILENCE>,api_call french paris four moderate,8
may i have a table in paris for eight with indian cuisine in a cheap price range,i'm on it,9
<SILENCE>,ok let me look into some options for you,9
<SILENCE>,api_call indian paris eight cheap,9
can you book a table for six people in a cheap price range,i'm on it,10
<SILENCE>,any preference on a type of cuisine,10
with italian food,where should it be,10
in madrid,ok let me look into some options for you,10
<SILENCE>,api_call italian madrid six cheap,10
can you make a restaurant reservation with spanish cuisine in a cheap price range for two people,i'm on it,11
<SILENCE>,where should it be,11
paris please,ok let me look into some options for you,11
<SILENCE>,api_call spanish paris two cheap,11
can you book a table with french cuisine for eight people in a cheap price range,i'm on it,12
<SILENCE>,where should it be,12
in madrid,ok let me look into some options for you,12
<SILENCE>,api_call french madrid eight cheap,12
can you book a table with italian food for six people in madrid,i'm on it,13
<SILENCE>,which price range are looking for,13
i am looking for a expensive restaurant,ok let me look into some options for you,13
<SILENCE>,api_call italian madrid six expensive,13
may i have a table in rome for four with italian cuisine,i'm on it,14
<SILENCE>,which price range are looking for,14
in a moderate price range please,ok let me look into some options for you,14
<SILENCE>,api_call italian rome four moderate,14
i'd like to book a table in a expensive price range in paris,i'm on it,15
<SILENCE>,any preference on a type of cuisine,15
with french cuisine,how many people would be in your party,15
for eight people please,ok let me look into some options for you,15
<SILENCE>,api_call french paris eight expensive,15
can you make a restaurant reservation for four people in bombay with british cuisine,i'm on it,16
<SILENCE>,which price range are looking for,16
i am looking for a cheap restaurant,ok let me look into some options for you,16
<SILENCE>,api_call british bombay four cheap,16
may i have a table with indian cuisine in paris,i'm on it,17
<SILENCE>,how many people would be in your party,17
for eight people please,which price range are looking for,17
i am looking for a moderate restaurant,ok let me look into some options for you,17
<SILENCE>,api_call indian paris eight moderate,17
i'd like to book a table,i'm on it,18
<SILENCE>,any preference on a type of cuisine,18
with indian cuisine,where should it be,18
in bombay,how many people would be in your party,18
for eight please,which price range are looking for,18
i am looking for a expensive restaurant,ok let me look into some options for you,18
<SILENCE>,api_call indian bombay eight expensive,18
can you book a table with french food in paris for six,i'm on it,19
<SILENCE>,which price range are looking for,19
in a cheap price range please,ok let me look into some options for you,19
<SILENCE>,api_call french paris six cheap,19
may i have a table,i'm on it,20
<SILENCE>,any preference on a type of cuisine,20
with indian cuisine,where should it be,20
rome please,how many people would be in your party,20
for eight people please,which price range are looking for,20
in a cheap price range please,ok let me look into some options for you,20
<SILENCE>,api_call indian rome eight cheap,20
i'd like to book a table with italian food for eight in a expensive price range,i'm on it,21
<SILENCE>,where should it be,21
bombay please,ok let me look into some options for you,21
<SILENCE>,api_call italian bombay eight expensive,21
may i have a table in paris in a moderate price range with indian cuisine,i'm on it,22
<SILENCE>,how many people would be in your party,22
we will be six,ok let me look into some options for you,22
<SILENCE>,api_call indian paris six moderate,22
may i have a table,i'm on it,23
<SILENCE>,any preference on a type of cuisine,23
with italian food,where should it be,23
bombay please,how many people would be in your party,23
we will be six,which price range are looking for,23
in a expensive price range please,ok let me look into some options for you,23
<SILENCE>,api_call italian bombay six expensive,23
can you make a restaurant reservation in madrid in a moderate price range,i'm on it,24
<SILENCE>,any preference on a type of cuisine,24
i love italian food,how many people would be in your party,24
for two please,ok let me look into some options for you,24
<SILENCE>,api_call italian madrid two moderate,24
can you make a restaurant reservation for eight in a expensive price range,i'm on it,25
<SILENCE>,any preference on a type of cuisine,25
with french food,where should it be,25
paris please,ok let me look into some options for you,25
<SILENCE>,api_call french paris eight expensive,25
can you make a restaurant reservation in a moderate price range with italian food in paris for eight,i'm on it,26
<SILENCE>,ok let me look into some options for you,26
<SILENCE>,api_call italian paris eight moderate,26
may i have a table in rome in a cheap price range for eight with french food,i'm on it,27
<SILENCE>,ok let me look into some options for you,27
<SILENCE>,api_call french rome eight cheap,27
i'd like to book a table in rome for eight people in a cheap price range,i'm on it,28
<SILENCE>,any preference on a type of cuisine,28
with spanish food,ok let me look into some options for you,28
<SILENCE>,api_call spanish rome eight cheap,28
can you book a table in rome with spanish cuisine in a expensive price range for two people,i'm on it,29
<SILENCE>,ok let me look into some options for you,29
<SILENCE>,api_call spanish rome two expensive,29
can you book a table with indian food,i'm on it,30
<SILENCE>,where should it be,30
in bombay,how many people would be in your party,30
we will be four,which price range are looking for,30
i am looking for a expensive restaurant,ok let me look into some options for you,30
<SILENCE>,api_call indian bombay four expensive,30
can you make a restaurant reservation with indian cuisine for eight in madrid,i'm on it,31
<SILENCE>,which price range are looking for,31
i am looking for a cheap restaurant,ok let me look into some options for you,31
<SILENCE>,api_call indian madrid eight cheap,31
can you book a table with italian cuisine in a cheap price range,i'm on it,32
<SILENCE>,where should it be,32
in rome,how many people would be in your party,32
we will be eight,ok let me look into some options for you,32
