Call,Response,KB,Count
 good morning,hello what can i help you with today,,1
 can you make a restaurant reservation in a cheap price range for six people with thai cuisine in beijing,i'm on it,<KB> resto_beijing_cheap_thai_5stars resto_beijing_cheap_thai_8stars ,1
 <SILENCE>,ok let me look into some options for you,<KB> resto_beijing_cheap_thai_5stars resto_beijing_cheap_thai_8stars ,1
 <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_8stars,<KB> resto_beijing_cheap_thai_5stars resto_beijing_cheap_thai_8stars ,1
 do you have something else,sure let me find an other option for you,<KB> resto_beijing_cheap_thai_5stars resto_beijing_cheap_thai_8stars ,1
 <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_5stars,<KB> resto_beijing_cheap_thai_5stars resto_beijing_cheap_thai_8stars ,1
 it's perfect,great let me do the reservation,<KB> resto_beijing_cheap_thai_5stars resto_beijing_cheap_thai_8stars ,1
 good morning,hello what can i help you with today,,2
 can you make a restaurant reservation for four with thai food in tokyo in a expensive price range,i'm on it,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 <SILENCE>,ok let me look into some options for you,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_7stars,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 no i don't like that,sure let me find an other option for you,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_6stars,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 no this does not work for me,sure let me find an other option for you,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 <SILENCE>,what do you think of this option: resto_tokyo_expensive_thai_3stars,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 let's do it,great let me do the reservation,<KB> resto_tokyo_expensive_thai_6stars resto_tokyo_expensive_thai_7stars ,2
 good morning,hello what can i help you with today,,3
 can you make a restaurant reservation with thai food in a cheap price range in beijing for six people,i'm on it,<KB> resto_beijing_cheap_thai_3stars resto_beijing_cheap_thai_5stars ,3
 <SILENCE>,ok let me look into some options for you,<KB> resto_beijing_cheap_thai_3stars resto_beijing_cheap_thai_5stars ,3
 <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_8stars,<KB> resto_beijing_cheap_thai_3stars resto_beijing_cheap_thai_5stars ,3
 no i don't like that,sure let me find an other option for you,<KB> resto_beijing_cheap_thai_3stars resto_beijing_cheap_thai_5stars ,3
 <SILENCE>,what do you think of this option: resto_beijing_cheap_thai_5stars,<KB> resto_beijing_cheap_thai_3stars resto_beijing_cheap_thai_5stars ,3
 i love that,great let me do the reservation,<KB> resto_beijing_cheap_thai_3stars resto_beijing_cheap_thai_5stars ,3
 good morning,hello what can i help you with today,,4
 can you make a restaurant reservation with cantonese food for six in a cheap price range,i'm on it,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 <SILENCE>,where should it be,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 hanoi please,ok let me look into some options for you,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 <SILENCE>,what do you think of this option: resto_hanoi_cheap_cantonese_7stars,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 no this does not work for me,sure let me find an other option for you,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 <SILENCE>,what do you think of this option: resto_hanoi_cheap_cantonese_6stars,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 it's perfect,great let me do the reservation,<KB> resto_hanoi_cheap_cantonese_1stars resto_hanoi_cheap_cantonese_6stars ,4
 hi,hello what can i help you with today,,5
 can you book a table in a cheap price range,i'm on it,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 <SILENCE>,any preference on a type of cuisine,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 with cantonese food,where should it be,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 tokyo please,how many people would be in your party,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 we will be four,ok let me look into some options for you,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
 <SILENCE>,what do you think of this option: resto_tokyo_cheap_cantonese_8stars,<KB> resto_tokyo_cheap_cantonese_2stars resto_tokyo_cheap_cantonese_6stars ,5
