Call,Response
<query> can you book a table with british cuisine for six people in madrid in a expensive price range,i'm on it
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call british madrid six expensive
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <query> instead could it be in a moderate price range,sure is there anything else to update
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <query> actually i would prefer for two people,sure is there anything else to update
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <query> instead could it be in bombay,sure is there anything else to update
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> instead could it be in bombay <system> sure is there anything else to update <query> no,ok let me look into some options for you
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> instead could it be in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <query> <SILENCE>,api_call british bombay two moderate
<context> <user> can you book a table with british cuisine for six people in madrid in a expensive price range <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british madrid six expensive <user> instead could it be in a moderate price range <system> sure is there anything else to update <user> actually i would prefer for two people <system> sure is there anything else to update <user> instead could it be in bombay <system> sure is there anything else to update <user> no <system> ok let me look into some options for you <user> <SILENCE> <system> api_call british bombay two moderate <query>  thanks,you're welcome
<query> may i have a table in a cheap price range in rome with italian cuisine for six,i'm on it
<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <query> <SILENCE>,ok let me look into some options for you
<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <query> <SILENCE>,api_call italian rome six cheap
<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six cheap <query> instead could it be in bombay,sure is there anything else to update
<context> <user> may i have a table in a cheap price range in rome with italian cuisine for six <system> i'm on it <user> <SILENCE> <system> ok let me look into some options for you <user> <SILENCE> <system> api_call italian rome six cheap <user> instead could it be in bombay <system> sure is there anything else to update <query> no,ok let me look into some options for you
