Call,Response,Count
can you book a table in a cheap price range in london,i'm on it,1
<SILENCE>,any preference on a type of cuisine,1
with french food,how many people would be in your party,1
for four please,ok let me look into some options for you,1
<SILENCE>,api_call french london four cheap,1
may i have a table,i'm on it,2
<SILENCE>,any preference on a type of cuisine,2
with spanish cuisine,where should it be,2
in london,how many people would be in your party,2
we will be four,which price range are looking for,2
in a moderate price range please,ok let me look into some options for you,2
<SILENCE>,api_call spanish london four moderate,2
can you make a restaurant reservation for eight people in a cheap price range with british cuisine,i'm on it,3
<SILENCE>,where should it be,3
in madrid,ok let me look into some options for you,3
<SILENCE>,api_call british madrid eight cheap,3
can you book a table in a moderate price range,i'm on it,4
<SILENCE>,any preference on a type of cuisine,4
i love indian food,where should it be,4
bombay please,how many people would be in your party,4
we will be four,ok let me look into some options for you,4
<SILENCE>,api_call indian bombay four moderate,4
may i have a table in a moderate price range with indian cuisine in london,i'm on it,5
<SILENCE>,how many people would be in your party,5
for four people please,ok let me look into some options for you,5
<SILENCE>,api_call indian london four moderate,5
i'd like to book a table for four people in london with french food,i'm on it,6
<SILENCE>,which price range are looking for,6
in a cheap price range please,ok let me look into some options for you,6
<SILENCE>,api_call french london four cheap,6
i'd like to book a table in a moderate price range,i'm on it,7
<SILENCE>,any preference on a type of cuisine,7
with spanish cuisine,where should it be,7
london please,how many people would be in your party,7
for two people please,ok let me look into some options for you,7
<SILENCE>,api_call spanish london two moderate,7
i'd like to book a table in a expensive price range in london with british cuisine,i'm on it,8
<SILENCE>,how many people would be in your party,8
for two people please,ok let me look into some options for you,8
<SILENCE>,api_call british london two expensive,8
i'd like to book a table for two with indian cuisine,i'm on it,9
<SILENCE>,where should it be,9
in bombay,which price range are looking for,9
in a expensive price range please,ok let me look into some options for you,9
<SILENCE>,api_call indian bombay two expensive,9
can you make a restaurant reservation for four with spanish cuisine in a moderate price range in madrid,i'm on it,10
<SILENCE>,ok let me look into some options for you,10
<SILENCE>,api_call spanish madrid four moderate,10
can you make a restaurant reservation,i'm on it,11
<SILENCE>,any preference on a type of cuisine,11
with british cuisine,where should it be,11
bombay please,how many people would be in your party,11
we will be four,which price range are looking for,11
i am looking for a moderate restaurant,ok let me look into some options for you,11
<SILENCE>,api_call british bombay four moderate,11
may i have a table for four people with spanish cuisine in a moderate price range in madrid,i'm on it,12
<SILENCE>,ok let me look into some options for you,12
<SILENCE>,api_call spanish madrid four moderate,12
may i have a table,i'm on it,13
<SILENCE>,any preference on a type of cuisine,13
with indian food,where should it be,13
in bombay,how many people would be in your party,13
for two people please,which price range are looking for,13
in a cheap price range please,ok let me look into some options for you,13
<SILENCE>,api_call indian bombay two cheap,13
can you make a restaurant reservation in madrid,i'm on it,14
<SILENCE>,any preference on a type of cuisine,14
i love indian food,how many people would be in your party,14
we will be four,which price range are looking for,14
i am looking for a moderate restaurant,ok let me look into some options for you,14
<SILENCE>,api_call indian madrid four moderate,14
may i have a table for two people with spanish cuisine in a moderate price range,i'm on it,15
<SILENCE>,where should it be,15
paris please,ok let me look into some options for you,15
<SILENCE>,api_call spanish paris two moderate,15
may i have a table in london with indian cuisine for two people in a moderate price range,i'm on it,16
<SILENCE>,ok let me look into some options for you,16
<SILENCE>,api_call indian london two moderate,16
can you make a restaurant reservation with spanish food,i'm on it,17
<SILENCE>,where should it be,17
london please,how many people would be in your party,17
for two people please,which price range are looking for,17
in a cheap price range please,ok let me look into some options for you,17
<SILENCE>,api_call spanish london two cheap,17
may i have a table in a moderate price range for two in rome with italian cuisine,i'm on it,18
<SILENCE>,ok let me look into some options for you,18
<SILENCE>,api_call italian rome two moderate,18
can you make a restaurant reservation in a expensive price range with british cuisine in rome for eight people,i'm on it,19
<SILENCE>,ok let me look into some options for you,19
<SILENCE>,api_call british rome eight expensive,19
may i have a table in london with spanish cuisine,i'm on it,20
<SILENCE>,how many people would be in your party,20
we will be six,which price range are looking for,20
i am looking for a moderate restaurant,ok let me look into some options for you,20
<SILENCE>,api_call spanish london six moderate,20
i'd like to book a table for six people with indian cuisine in a moderate price range,i'm on it,21
<SILENCE>,where should it be,21
in bombay,ok let me look into some options for you,21
<SILENCE>,api_call indian bombay six moderate,21
may i have a table in a moderate price range in rome,i'm on it,22
<SILENCE>,any preference on a type of cuisine,22
i love british food,how many people would be in your party,22
we will be four,ok let me look into some options for you,22
<SILENCE>,api_call british rome four moderate,22
i'd like to book a table with spanish food in rome for four people,i'm on it,23
<SILENCE>,which price range are looking for,23
i am looking for a moderate restaurant,ok let me look into some options for you,23
<SILENCE>,api_call spanish rome four moderate,23
may i have a table,i'm on it,24
<SILENCE>,any preference on a type of cuisine,24
with spanish food,where should it be,24
in bombay,how many people would be in your party,24
for six please,which price range are looking for,24
in a expensive price range please,ok let me look into some options for you,24
<SILENCE>,api_call spanish bombay six expensive,24
may i have a table in a expensive price range with italian food,i'm on it,25
<SILENCE>,where should it be,25
london please,how many people would be in your party,25
for eight people please,ok let me look into some options for you,25
<SILENCE>,api_call italian london eight expensive,25
can you make a restaurant reservation in madrid for two people,i'm on it,26
<SILENCE>,any preference on a type of cuisine,26
with italian cuisine,which price range are looking for,26
i am looking for a cheap restaurant,ok let me look into some options for you,26
<SILENCE>,api_call italian madrid two cheap,26
can you book a table with british food in rome in a expensive price range for four,i'm on it,27
<SILENCE>,ok let me look into some options for you,27
<SILENCE>,api_call british rome four expensive,27
can you book a table for four people in a moderate price range with spanish cuisine in bombay,i'm on it,28
<SILENCE>,ok let me look into some options for you,28
<SILENCE>,api_call spanish bombay four moderate,28
can you book a table in bombay with french food in a cheap price range,i'm on it,29
<SILENCE>,how many people would be in your party,29
we will be six,ok let me look into some options for you,29
<SILENCE>,api_call french bombay six cheap,29
i'd like to book a table in a expensive price range,i'm on it,30
<SILENCE>,any preference on a type of cuisine,30
i love indian food,where should it be,30
in london,how many people would be in your party,30
we will be two,ok let me look into some options for you,30
<SILENCE>,api_call indian london two expensive,30
can you make a restaurant reservation in bombay in a moderate price range with french food,i'm on it,31
<SILENCE>,how many people would be in your party,31
for six people please,ok let me look into some options for you,31
<SILENCE>,api_call french bombay six moderate,31
can you make a restaurant reservation in london in a cheap price range for four with french cuisine,i'm on it,32
<SILENCE>,ok let me look into some options for you,32
<SILENCE>,api_call french london four cheap,32
can you book a table in london for six in a moderate price range,i'm on it,33
<SILENCE>,any preference on a type of cuisine,33
i love french food,ok let me look into some options for you,33
<SILENCE>,api_call french london six moderate,33
can you make a restaurant reservation with indian cuisine in rome,i'm on it,34
<SILENCE>,how many people would be in your party,34
we will be six,which price range are looking for,34
i am looking for a expensive restaurant,ok let me look into some options for you,34
<SILENCE>,api_call indian rome six expensive,34
can you book a table,i'm on it,35
<SILENCE>,any preference on a type of cuisine,35
i love italian food,where should it be,35
in london,how many people would be in your party,35
for four please,which price range are looking for,35
i am looking for a cheap restaurant,ok let me look into some options for you,35
<SILENCE>,api_call italian london four cheap,35
i'd like to book a table,i'm on it,36
<SILENCE>,any preference on a type of cuisine,36
i love indian food,where should it be,36
london please,how many people would be in your party,36
for six please,which price range are looking for,36
in a expensive price range please,ok let me look into some options for you,36
<SILENCE>,api_call indian london six expensive,36
can you book a table,i'm on it,37
<SILENCE>,any preference on a type of cuisine,37
with italian food,where should it be,37
in madrid,how many people would be in your party,37
for four please,which price range are looking for,37
i am looking for a expensive restaurant,ok let me look into some options for you,37
<SILENCE>,api_call italian madrid four expensive,37
i'd like to book a table with french food for four,i'm on it,38
<SILENCE>,where should it be,38
in madrid,which price range are looking for,38
in a cheap price range please,ok let me look into some options for you,38
<SILENCE>,api_call french madrid four cheap,38
may i have a table for four people,i'm on it,39
<SILENCE>,any preference on a type of cuisine,39
i love italian food,where should it be,39
london please,which price range are looking for,39
in a cheap price range please,ok let me look into some options for you,39
<SILENCE>,api_call italian london four cheap,39
i'd like to book a table in bombay for four with italian food in a cheap price range,i'm on it,40
<SILENCE>,ok let me look into some options for you,40
<SILENCE>,api_call italian bombay four cheap,40
can you make a restaurant reservation in london with french cuisine in a cheap price range for four,i'm on it,41
<SILENCE>,ok let me look into some options for you,41
<SILENCE>,api_call french london four cheap,41
can you book a table in a cheap price range with british food for eight people in rome,i'm on it,42
<SILENCE>,ok let me look into some options for you,42
<SILENCE>,api_call british rome eight cheap,42
may i have a table with italian cuisine in a moderate price range in rome for two people,i'm on it,43
<SILENCE>,ok let me look into some options for you,43
<SILENCE>,api_call italian rome two moderate,43
i'd like to book a table with spanish cuisine,i'm on it,44
<SILENCE>,where should it be,44
rome please,how many people would be in your party,44
we will be four,which price range are looking for,44
i am looking for a expensive restaurant,ok let me look into some options for you,44
<SILENCE>,api_call spanish rome four expensive,44
can you book a table in a moderate price range in rome,i'm on it,45
<SILENCE>,any preference on a type of cuisine,45
with british cuisine,how many people would be in your party,45
for four please,ok let me look into some options for you,45
<SILENCE>,api_call british rome four moderate,45
can you make a restaurant reservation in bombay in a cheap price range with italian food,i'm on it,46
<SILENCE>,how many people would be in your party,46
we will be two,ok let me look into some options for you,46
<SILENCE>,api_call italian bombay two cheap,46
i'd like to book a table in a cheap price range for four,i'm on it,47
<SILENCE>,any preference on a type of cuisine,47
with spanish food,where should it be,47
in madrid,ok let me look into some options for you,47
<SILENCE>,api_call spanish madrid four cheap,47
i'd like to book a table for six with spanish cuisine,i'm on it,48
<SILENCE>,where should it be,48
in london,which price range are looking for,48
in a moderate price range please,ok let me look into some options for you,48
<SILENCE>,api_call spanish london six moderate,48
can you make a restaurant reservation with french food in rome,i'm on it,49
<SILENCE>,how many people would be in your party,49
for four please,which price range are looking for,49
in a cheap price range please,ok let me look into some options for you,49
<SILENCE>,api_call french rome four cheap,49
can you book a table for eight people in madrid in a cheap price range with italian food,i'm on it,50
<SILENCE>,ok let me look into some options for you,50
<SILENCE>,api_call italian madrid eight cheap,50
can you book a table in rome in a expensive price range,i'm on it,51
<SILENCE>,any preference on a type of cuisine,51
with italian food,how many people would be in your party,51
for eight please,ok let me look into some options for you,51
<SILENCE>,api_call italian rome eight expensive,51
may i have a table for four,i'm on it,52
<SILENCE>,any preference on a type of cuisine,52
i love french food,where should it be,52
in rome,which price range are looking for,52
in a moderate price range please,ok let me look into some options for you,52
<SILENCE>,api_call french rome four moderate,52
can you book a table,i'm on it,53
<SILENCE>,any preference on a type of cuisine,53
with italian food,where should it be,53
madrid please,how many people would be in your party,53
for eight please,which price range are looking for,53
i am looking for a cheap restaurant,ok let me look into some options for you,53
<SILENCE>,api_call italian madrid eight cheap,53
can you book a table with indian food in a cheap price range for eight people in london,i'm on it,54
<SILENCE>,ok let me look into some options for you,54
<SILENCE>,api_call indian london eight cheap,54
can you book a table in a moderate price range with spanish cuisine for six,i'm on it,55
<SILENCE>,where should it be,55
london please,ok let me look into some options for you,55
<SILENCE>,api_call spanish london six moderate,55
can you make a restaurant reservation with spanish food in madrid for eight,i'm on it,56
<SILENCE>,which price range are looking for,56
in a cheap price range please,ok let me look into some options for you,56
<SILENCE>,api_call spanish madrid eight cheap,56
i'd like to book a table in paris with british cuisine,i'm on it,57
<SILENCE>,how many people would be in your party,57
for eight please,which price range are looking for,57
in a expensive price range please,ok let me look into some options for you,57
<SILENCE>,api_call british paris eight expensive,57
i'd like to book a table with indian food in london for two people,i'm on it,58
<SILENCE>,which price range are looking for,58
i am looking for a moderate restaurant,ok let me look into some options for you,58
<SILENCE>,api_call indian london two moderate,58
can you book a table in a cheap price range with french cuisine,i'm on it,59
<SILENCE>,where should it be,59
paris please,how many people would be in your party,59
for two people please,ok let me look into some options for you,59
<SILENCE>,api_call french paris two cheap,59
i'd like to book a table for two in a expensive price range in london with indian food,i'm on it,60
<SILENCE>,ok let me look into some options for you,60
<SILENCE>,api_call indian london two expensive,60
i'd like to book a table for four with italian cuisine,i'm on it,61
<SILENCE>,where should it be,61
in london,which price range are looking for,61
in a cheap price range please,ok let me look into some options for you,61
<SILENCE>,api_call italian london four cheap,61
may i have a table in madrid in a moderate price range,i'm on it,62
<SILENCE>,any preference on a type of cuisine,62
i love indian food,how many people would be in your party,62
for four please,ok let me look into some options for you,62
<SILENCE>,api_call indian madrid four moderate,62
i'd like to book a table in madrid with spanish cuisine for four,i'm on it,63
<SILENCE>,which price range are looking for,63
i am looking for a moderate restaurant,ok let me look into some options for you,63
<SILENCE>,api_call spanish madrid four moderate,63
can you make a restaurant reservation in paris for eight people,i'm on it,64
<SILENCE>,any preference on a type of cuisine,64
with italian cuisine,which price range are looking for,64
i am looking for a expensive restaurant,ok let me look into some options for you,64
<SILENCE>,api_call italian paris eight expensive,64
i'd like to book a table in london with spanish food,i'm on it,65
<SILENCE>,how many people would be in your party,65
for four people please,which price range are looking for,65
in a cheap price range please,ok let me look into some options for you,65
<SILENCE>,api_call spanish london four cheap,65
may i have a table in rome for two with indian food,i'm on it,66
<SILENCE>,which price range are looking for,66
i am looking for a moderate restaurant,ok let me look into some options for you,66
<SILENCE>,api_call indian rome two moderate,66
i'd like to book a table,i'm on it,67
<SILENCE>,any preference on a type of cuisine,67
with british cuisine,where should it be,67
in bombay,how many people would be in your party,67
we will be two,which price range are looking for,67
in a cheap price range please,ok let me look into some options for you,67
