Call,Response,KB,Count
 good morning,hello what can i help you with today,,1
 can you book a table with british cuisine in a moderate price range,i'm on it,<KB> resto_paris_moderate_british_2stars resto_paris_moderate_british_3stars ,1
 <SILENCE>,where should it be,<KB> resto_paris_moderate_british_2stars resto_paris_moderate_british_3stars ,1
 in paris,how many people would be in your party,<KB> resto_paris_moderate_british_2stars resto_paris_moderate_british_3stars ,1
 for four please,ok let me look into some options for you,<KB> resto_paris_moderate_british_2stars resto_paris_moderate_british_3stars ,1
 <SILENCE>,what do you think of this option: resto_paris_moderate_british_3stars,<KB> resto_paris_moderate_british_2stars resto_paris_moderate_british_3stars ,1
 let's do it,great let me do the reservation,<KB> resto_paris_moderate_british_2stars resto_paris_moderate_british_3stars ,1
 hello,hello what can i help you with today,,2
 may i have a table for six in paris,i'm on it,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,any preference on a type of cuisine,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 i love french food,which price range are looking for,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 in a expensive price range please,ok let me look into some options for you,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,what do you think of this option: resto_paris_expensive_french_8stars,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 do you have something else,sure let me find an other option for you,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,what do you think of this option: resto_paris_expensive_french_7stars,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 do you have something else,sure let me find an other option for you,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,what do you think of this option: resto_paris_expensive_french_5stars,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,what do you think of this option: resto_paris_expensive_french_4stars,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 no this does not work for me,sure let me find an other option for you,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
 <SILENCE>,what do you think of this option: resto_paris_expensive_french_2stars,<KB> resto_paris_expensive_french_4stars resto_paris_expensive_french_5stars ,2
