,source_text,target_text,pred_text
0,<query> may i have a table in seoul,i'm on it,i'm on it
1,<context> <user> may i have a table in seoul <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
2,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai cuisine,how many people would be in your party,how many people would be in your party
3,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <query> for four people please,which price range are looking for,which price range are looking for
4,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> for four people please <system> which price range are looking for <query> in a expensive price range please,ok let me look into some options for you,ok let me look into some options for you
5,<context> <user> may i have a table in seoul <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> how many people would be in your party <user> for four people please <system> which price range are looking for <user> in a expensive price range please <system> ok let me look into some options for you <query> <SILENCE>,api_call thai seoul four expensive,api_call thai seoul four expensive
6,<query> may i have a table,i'm on it,i'm on it
7,<context> <user> may i have a table <system> i'm on it <query> <SILENCE>,any preference on a type of cuisine,any preference on a type of cuisine
8,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <query> with thai cuisine,where should it be,where should it be
9,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <query> tokyo please,how many people would be in your party,how many people would be in your party
10,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <user> tokyo please <system> how many people would be in your party <query> for two people please,which price range are looking for,which price range are looking for
11,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for two people please <system> which price range are looking for <query> i am looking for a expensive restaurant,ok let me look into some options for you,ok let me look into some options for you
12,<context> <user> may i have a table <system> i'm on it <user> <SILENCE> <system> any preference on a type of cuisine <user> with thai cuisine <system> where should it be <user> tokyo please <system> how many people would be in your party <user> for two people please <system> which price range are looking for <user> i am looking for a expensive restaurant <system> ok let me look into some options for you <query> <SILENCE>,api_call thai tokyo two expensive,api_call thailand two expensive
13,<query> i'd like to book a table in seoul for eight,i'm on it,i'm on it
