Call,Response,Count
may i have a table for six in tokyo with thai cuisine in a cheap price range,i'm on it,1
<SILENCE>,ok let me look into some options for you,1
<SILENCE>,api_call thai tokyo six cheap,1
actually i would prefer for eight people,sure is there anything else to update,1
actually i would prefer with vietnamese cuisine,sure is there anything else to update,1
actually i would prefer in a expensive price range,sure is there anything else to update,1
actually i would prefer in seoul,sure is there anything else to update,1
no,ok let me look into some options for you,1
 <SILENCE>,api_call vietnamese seoul eight expensive,1
 you rock,you're welcome,1
can you book a table in beijing in a cheap price range for six with vietnamese food,i'm on it,2
<SILENCE>,ok let me look into some options for you,2
<SILENCE>,api_call vietnamese beijing six cheap,2
instead could it be with japanese food,sure is there anything else to update,2
instead could it be in bangkok,sure is there anything else to update,2
actually i would prefer for four people,sure is there anything else to update,2
no,ok let me look into some options for you,2
<SILENCE>,api_call japanese bangkok four cheap,2
 you rock,you're welcome,2
may i have a table in bangkok for six people in a expensive price range with thai food,i'm on it,3
<SILENCE>,ok let me look into some options for you,3
<SILENCE>,api_call thai bangkok six expensive,3
instead could it be in a moderate price range,sure is there anything else to update,3
no,ok let me look into some options for you,3
<SILENCE>,api_call thai bangkok six moderate,3
you rock,you're welcome,3
i'd like to book a table for six people with korean food in seoul in a moderate price range,i'm on it,4
<SILENCE>,ok let me look into some options for you,4
<SILENCE>,api_call korean seoul six moderate,4
instead could it be in hanoi,sure is there anything else to update,4
no,ok let me look into some options for you,4
<SILENCE>,api_call korean hanoi six moderate,4
thank you,you're welcome,4
can you make a restaurant reservation in a cheap price range with korean cuisine in hanoi for eight people,i'm on it,5
<SILENCE>,ok let me look into some options for you,5
<SILENCE>,api_call korean hanoi eight cheap,5
instead could it be in bangkok,sure is there anything else to update,5
instead could it be with vietnamese cuisine,sure is there anything else to update,5
no,ok let me look into some options for you,5
<SILENCE>,api_call vietnamese bangkok eight cheap,5
thanks,you're welcome,5
can you make a restaurant reservation with vietnamese cuisine in a expensive price range for six in beijing,i'm on it,6
<SILENCE>,ok let me look into some options for you,6
<SILENCE>,api_call vietnamese beijing six expensive,6
actually i would prefer with korean food,sure is there anything else to update,6
actually i would prefer in a cheap price range,sure is there anything else to update,6
instead could it be in tokyo,sure is there anything else to update,6
no,ok let me look into some options for you,6
<SILENCE>,api_call korean tokyo six cheap,6
 you rock,you're welcome,6
can you book a table for eight in bangkok with japanese cuisine in a moderate price range,i'm on it,7
<SILENCE>,ok let me look into some options for you,7
<SILENCE>,api_call japanese bangkok eight moderate,7
instead could it be in tokyo,sure is there anything else to update,7
actually i would prefer for two people,sure is there anything else to update,7
actually i would prefer in a cheap price range,sure is there anything else to update,7
instead could it be with vietnamese cuisine,sure is there anything else to update,7
no,ok let me look into some options for you,7
 <SILENCE>,api_call vietnamese tokyo two cheap,7
 thank you,you're welcome,7
can you make a restaurant reservation for eight people with korean cuisine in beijing in a moderate price range,i'm on it,8
<SILENCE>,ok let me look into some options for you,8
