Call,Response,KB,Count
 good morning,hello what can i help you with today,,1
 may i have a table,i'm on it,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 <SILENCE>,any preference on a type of cuisine,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 with indian cuisine,where should it be,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 rome please,how many people would be in your party,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 we will be eight,which price range are looking for,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 i am looking for a cheap restaurant,ok let me look into some options for you,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 <SILENCE>,what do you think of this option: resto_rome_cheap_indian_7stars,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 i love that,great let me do the reservation,<KB> resto_rome_cheap_indian_6stars resto_rome_cheap_indian_7stars ,1
 good morning,hello what can i help you with today,,2
 can you book a table in bombay with spanish cuisine for six people in a cheap price range,i'm on it,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 <SILENCE>,ok let me look into some options for you,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_8stars,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 no this does not work for me,sure let me find an other option for you,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_7stars,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 do you have something else,sure let me find an other option for you,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_6stars,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 no this does not work for me,sure let me find an other option for you,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 <SILENCE>,what do you think of this option: resto_bombay_cheap_spanish_5stars,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
 no i don't like that,sure let me find an other option for you,<KB> resto_bombay_cheap_spanish_1stars resto_bombay_cheap_spanish_8stars ,2
